Individual statistics:

Slow64-avx2                   :   4 (+  3,=  1,-  0), 87.5 %
Counter-4.0-windows-amd64     :   1 (+  1,=  0,-  0), 100.0 %
Nemorino_6.00_win64_avx2      :   4 (+  1,=  3,-  0), 62.5 %
Dragon-64bit-avx2             :   1 (+  0,=  1,-  0), 50.0 %
ShashChess20.2-x86-64-avx2    :   1 (+  0,=  0,-  1),  0.0 %
Drofa_3.2.0_popcnt            :   1 (+  1,=  0,-  0), 100.0 %
Weiss-pext                    :   4 (+  3,=  1,-  0), 87.5 %
Ethereal-avx2                 :   4 (+  2,=  2,-  0), 75.0 %
FatFritz2                     :   4 (+  0,=  0,-  4),  0.0 %
Fire_8.11_x64_popc            :   4 (+  2,=  1,-  1), 62.5 %
Koivisto_7.0-x64-windows-avx2 :   5 (+  1,=  1,-  3), 30.0 %
Gull 3 x64 BMI2               :   1 (+  1,=  0,-  0), 100.0 %
Houdini 6.03 Pro x64_popc     :   1 (+  1,=  0,-  0), 100.0 %
Igel-x64_bmi2_avx2_3_0_5      :   3 (+  1,=  1,-  1), 50.0 %
Dragon-2.6-64bit-avx2         :   3 (+  0,=  1,-  2), 16.7 %
Houdini 6.03 Pro x64_pext     :   3 (+  3,=  0,-  0), 100.0 %
LeelaCUDNN                    :   3 (+  0,=  1,-  2), 16.7 %
RofChade_bmi2                 :   2 (+  2,=  0,-  0), 100.0 %
Seer_v2.4_x64_avx2_popcnt     :   2 (+  1,=  1,-  0), 75.0 %
Wasp520-windows-avx           :   3 (+  2,=  1,-  0), 83.3 %
Houdini_6.0.2_Pro_x64-pext    :   3 (+  1,=  1,-  1), 50.0 %

12 Igel-x64_bmi2_avx2_3_0_5  : 3298   61 (+ 16,= 33,- 12), 53.3 %

Stockfish_14.1_win_x64_avx2   :   3 (+  0,=  0,-  3),  0.0 %
Arasanx-64-avx2               :   3 (+  2,=  1,-  0), 83.3 %
Xiphos-0.6-w64-bmi2           :   3 (+  3,=  0,-  0), 100.0 %
Berserk-8.5.1-x64-avx2-pext   :   3 (+  1,=  1,-  1), 50.0 %
Booot6_popcnt                 :   3 (+  2,=  1,-  0), 83.3 %
